record_id,ceremony_year,ceremony_number,film_title,film_title_original,film_language,film_year,category,category_normalized,award_type,director,awardee,production_company,cash_prize,imdb_id,imdb_rating,imdb_votes,runtime_minutes,genres,box_office_worldwide,release_date,omdb_box_office,omdb_released,omdb_poster_url,plot_summary,is_sequel,is_remake,crew_size,source_url,scraped_at,data_source,is_valid,validation_warnings,validation_errors
2023|Best Odia Feature Film|Daman,2023,70,Daman,,Hindi,2022,Best Odia Feature Film,best-odia-feature-film,Silver Lotus,Lenka Debiprasad,JP Motion Pictures,,Vishal Mourya Debi Prasad Lenka,tt17592606,8.8,"13,683",121,Adventure|Drama,,04 Nov 2022,,04 Nov 2022,https://m.media-amazon.com/images/M/MV5BYWRiYjc0YTYtOTJjOS00MjU1LTkzNTUtOWQxNWY3NzM3MmYzXkEyXkFqcGc@._V1_SX300.jpg,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages &amp; infamous for Naxals dominance &amp; no basic facilities. It's a real life t...",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Punjabi Feature Film|Baghi Di Dhee,2023,70,Baghi Di Dhee,,Punjabi,2022,Best Punjabi Feature Film,best-punjabi-feature-film,Silver Lotus,Mukesh Gautam,G-Next Media,,Mukesh Gautam,tt23321482,,13,,Drama,,25 Nov 2022,,25 Nov 2022,https://m.media-amazon.com/images/M/MV5BNzAxOWNhNmYtN2IyNS00OGZhLWE1ZGItYmFkN2M5MzI0NmVmXkEyXkFqcGdeQXVyNjUzNzMxNzg@._V1_SX300.jpg,"Based in the background of the Ghadar movement during the Indian Freedom Struggle, this film narrates the story of a courageous little daughter of a rebel who displays exemplary courage in the wake of enormous odds.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Tamil Feature Film|Ponniyin Selvan: I,2023,70,Ponniyin Selvan: I,,Tamil,2022,Best Tamil Feature Film,best-tamil-feature-film,Silver Lotus,Mani Ratnam,Madras Talkies,,Mani Ratnam,tt10701074,7.5,,167,Action|Drama,Gross worldwide,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Telugu Feature Film|Karthikeya 2,2023,70,Karthikeya 2,,Telugu,2022,Best Telugu Feature Film,best-telugu-feature-film,Silver Lotus,Chandoo Mondeti,Abhishek Agarwal Arts People Media Factory,,Chandoo Mondeti,tt13664684,7.9,"64,535",150,Action|Adventure|Fantasy,,13 Aug 2022,,13 Aug 2022,https://m.media-amazon.com/images/M/MV5BNjQyM2RlNGMtZmE2Yi00NjQ4LTgwMmQtZWY1MjU3M2E4ZDhjXkEyXkFqcGc@._V1_SX300.jpg,"A sequel to Karthikeya (2014), which deals with the personal problems of Karthikeya and how his pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Producer|Director,2023,70,Director,,Hindi,2022,Producer,producer,Silver Lotus,"Karthik Krishna, Kiran Ponnada",,,,tt14787448,,908,121,Drama|Horror|Thriller,,18 Mar 2022,,18 Mar 2022,https://m.media-amazon.com/images/M/MV5BNzIxNWRkODUtMmVlOS00NzhjLWIyZjAtMTJlYmRkNzhiN2Q2XkEyXkFqcGdeQXVyOTc2MTgwNjY@._V1_SX300.jpg,A film director meets with an accident and his life takes a major turn. What happened before and after the accident and what he is seeing which no one can see.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Tiwa Feature Film|Sikaisal,2023,70,Sikaisal,,,2022,Best Tiwa Feature Film,best-tiwa-feature-film,Silver Lotus,Bobby Sarma Baruah,Imaging Media,,Bobby Sarma Baruah,tt28938920,,,104,Drama,,22 Apr 2022,,22 Apr 2022,https://m.media-amazon.com/images/M/MV5BNzE0ODM0NTYtZGY4Ny00NjBhLWIxNDktODY4NjJiZGY1Zjc0XkEyXkFqcGc@._V1_SX300.jpg,"The path to Knowledge shown by Maheshwar Patar, becomes a beacon in Ulukunchi, his determination and persistence to educate his people makes way to his dream and purpose in life.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Special Mention|Gulmohar,2023,70,Gulmohar,,Hindi,2022,Special Mention,special-mention,Certificate of Merit,Rahul V. Chittella,Actor: Manoj Bajpayee,,Certificate only,tt18951176,7.6,"5,523",131,Drama|Family,,03 Mar 2023,,03 Mar 2023,https://m.media-amazon.com/images/M/MV5BNzJjNjQ0YmYtYTdmMy00OGVjLWFlOTktNGM4ZTY1OWRkMGUwXkEyXkFqcGc@._V1_SX300.jpg,Follows the final four days of the Batra family living in their 31-year-old family home as they move to a new city.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Kadhikan|Malayalam,2023,70,Malayalam,,Music Director: Sanjoy Chowdhury,2022,Kadhikan,kadhikan,Certificate of Merit,Sabarinath Nair,,,,tt21959306,,,95,Thriller,,20 Aug 2022,,20 Aug 2022,https://m.media-amazon.com/images/M/MV5BNGNjOGNhNWUtNjMyOS00MzVjLWI0ODctOGQzMTcxYjEzY2EwXkEyXkFqcGdeQXVyNDkxNzY1NTA@._V1_SX300.jpg,"LOCKED IN (2022) Richard Martin (Shaji Edward) is a wealthy businessman and a successful Indo American writer. His daughter Jenifer Martin (Hannah Areechira) , a college going girl with a cheery disposition who is known for being ...",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Non-Feature Film|Ayena,2023,70,Ayena,,Hindi Urdu,2022,Best Non-Feature Film,best-non-feature-film,Golden Lotus,Siddhant Sarin,Producer: Teh Films,,"₹3,00,000 each",tt18072646,,24,70,Documentary,,25 Jan 2022,,25 Jan 2022,https://m.media-amazon.com/images/M/MV5BOWZjODE4NTMtZjE4OS00NmZmLThiNTEtOTc0OThhNjQ2NzBhXkEyXkFqcGc@._V1_SX300.jpg,"In the aftermath of an acid attack that changed their life forever, 'Ayena' explores moments of friendship, resilience and the daily negotiations of two extraordinary young Indian women.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Direction|From the Shadows,2023,70,From the Shadows,,English Bengali Hindi,2022,Best Direction,best-direction,Golden Lotus,Miriam Chandy Menacherry,Miriam Chandy Menacherry,,"₹3,00,000",tt14208454,4.1,161,88,Horror,,26 Jan 2024,,26 Jan 2024,https://m.media-amazon.com/images/M/MV5BMDJhMjliYWQtMTVmYi00NmU4LWI2YmItOTJlNTFjMWVkMmNjXkEyXkFqcGc@._V1_SX300.jpg,"When Dr. Joseph Cawl (Davison) and members of his Hidden Wisdom cult die in a mysterious fire, survivors contact a paranormal expert (Anduze) to find the truth. What they discover makes them the next target of a deranged killer (D...",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Debut Film of a Director|Madhyantara,2023,70,Madhyantara,,Kannada,2022,Best Debut Film of a Director,best-debut-film-of-a-director,Golden Lotus,Dinesh Shenoy,Basti Dinesh Shenoy,,"₹3,00,000",tt25729112,8.7,24,39,Short,,27 Nov 2022,,27 Nov 2022,https://m.media-amazon.com/images/M/MV5BY2U1ZTQ2ZTgtMjRlNi00YWU5LThiOWQtYTVkNGQ0ZTU0MmNiXkEyXkFqcGc@._V1_SX300.jpg,"In the 1970s Karnataka, India, two boys from a small village, embark on an extraordinary journey as they go from being pedestrian film-buffs to filmmakers themselves.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Biographical / Historical Reconstru|Aankhi Ek Mohenjo Daro,2023,70,Aankhi Ek Mohenjo Daro,,Marathi,2022,Best Biographical / Historical Reconstruction / Compilation Film,best-biographical-historical-reconstruction-compilation-film,Silver Lotus,Ashok Rane,Producer: De Goan Studio Ashok Rane Productions,,"₹2,00,000 each",tt33131399,,,,,,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Arts / Cultural Film|Ranga Vibhoga,2023,70,Ranga Vibhoga,,Kannada,2022,Best Arts / Cultural Film,best-arts-cultural-film,Silver Lotus,Suneel Narasimhachar Puranik,Producer and,,"₹2,00,000 shared",tt33131402,,,,Short,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Varsa|Marathi,2023,70,Marathi,,Producer and Director: Sachin Balasaheb Suryawanshi,2022,Varsa,varsa,Silver Lotus,Riteish Deshmukh,,,,tt20566056,,,,Thriller,,30 Jun 2022,,30 Jun 2022,https://m.media-amazon.com/images/M/MV5BNzBmZWRhNWYtMmNhMC00ZjIyLWIzMmQtMzUwNjNmN2IxY2I4XkEyXkFqcGdeQXVyMTUzMTk1MDg5._V1_SX300.jpg,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Documentary|Murmurs of the Jungle,2023,70,Murmurs of the Jungle,,Marathi,2022,Best Documentary,best-documentary,Silver Lotus,Sohil Vaidya,Producer and,,"₹2,00,000",tt17505104,,16,20,Short,,26 Jan 2022,,26 Jan 2022,https://m.media-amazon.com/images/M/MV5BN2ZmZmI1YzAtMGU5NC00YTNlLTkyMTctZjVkODk0MmYxY2EwXkEyXkFqcGc@._V1_SX300.jpg,"As whispering trees pass on stories of gods and ancestors, various inhabitants of a small village in Western Ghats speak. Gradually, a story unfolds that encompasses all of humanity and its symbiotic relationship to nature. Woods ...",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Non Feature Film Promoting Social A|On the Brink – Season 2 – Gharial,2023,70,On the Brink – Season 2 – Gharial,,English,2022,Best Non Feature Film Promoting Social and Environmental Values,best-non-feature-film-promoting-social-and-environmental-values,Silver Lotus,Akanksha Sood Singh,Producer: the Gaia People,,"₹2,00,000 each",,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Animation Film|A Coconut Tree,2023,70,A Coconut Tree,,English,2022,Best Animation Film,best-animation-film,Silver Lotus,Joshy Benedict,Producer: JB Productions Director and Animator: Joshy Benedict,,"₹2,00,000 each",tt33131333,,,,Animation,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Short Film|Xunyota,2023,70,Xunyota,,Assamese,2022,Best Short Film,best-short-film,Silver Lotus,Nabapan Deka,Producer: HM Production,,"₹2,00,000 each",tt26347375,,,29,Short,,17 Dec 2022,,17 Dec 2022,https://m.media-amazon.com/images/M/MV5BZWM3NDhkMWUtM2U3OS00NGZmLTgwNDUtMmJjYzRkM2QxYjY5XkEyXkFqcGdeQXVyMTYxMjgyMDQ5._V1_SX300.jpg,"Xunyota, meaning 'void', touches upon the unspoken nuances of grief and loss. The story explores the changing trajectory of a young, school-going girl, Bina's life, after her mother is left bed-ridden by a terminal illness.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Cinematography|Mono No Aware,2023,70,Mono No Aware,,Hindi English,2022,Best Cinematography,best-cinematography,Silver Lotus,Quinton Kienow Dominguez,Siddharth Diwan,,"₹2,00,000",tt22091832,,,34,Short,,15 Oct 2022,,15 Oct 2022,https://m.media-amazon.com/images/M/MV5BMzUzNmZlOGMtZDZmYi00NGZjLTg1NjEtZThlMWM3NDQxZThkXkEyXkFqcGdeQXVyMTQwNDk0MzYy._V1_SX300.jpg,"It's late at night in Los Angeles. Kia and Iris seek expressions of love, sexuality and friendship in musical moments that provide the soundtrack to their lives.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Sound Design|Yaan,2023,70,Yaan,,Hindi Malwi,2022,Best Sound Design,best-sound-design,Silver Lotus,Satish Sharma,Manas Choudhury,,"₹2,00,000",tt2571022,3.7,432,153,Action|Thriller,,02 Oct 2014,,02 Oct 2014,https://m.media-amazon.com/images/M/MV5BMjVlMGY1YzItNmJlNS00ZTk0LWJjMTUtNDQzZjY1ZjAzNWM0XkEyXkFqcGc@._V1_SX300.jpg,"Chandru, a jobless man, vows to get a job after the father of his girlfriend opposes their relationship. His joy on getting a job in an Islamic nation ends when he is nabbed there for carrying drugs.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Editing|Madhyantara,2023,70,Madhyantara,,Kannada,2022,Best Editing,best-editing,Silver Lotus,Dinesh Shenoy,Suresh Urs,,"₹2,00,000",tt25729112,8.7,24,39,Short,,27 Nov 2022,,27 Nov 2022,https://m.media-amazon.com/images/M/MV5BY2U1ZTQ2ZTgtMjRlNi00YWU5LThiOWQtYTVkNGQ0ZTU0MmNiXkEyXkFqcGc@._V1_SX300.jpg,"In the 1970s Karnataka, India, two boys from a small village, embark on an extraordinary journey as they go from being pedestrian film-buffs to filmmakers themselves.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Music Direction|Fursat,2023,70,Fursat,,Hindi,2022,Best Music Direction,best-music-direction,Silver Lotus,Vishal Bhardwaj,Vishal Bhardwaj,,"₹2,00,000",tt26446979,5.2,923,30,Short|Musical|Romance,,03 Feb 2023,,03 Feb 2023,https://m.media-amazon.com/images/M/MV5BNmU5OWJjMjAtYTJmYS00MWIwLTg3ZWQtODQ2YjU0NWFmMTY2XkEyXkFqcGc@._V1_SX300.jpg,"A young man unearths an ancient relic that lets him peek into the future. In his obsession to control what lies ahead, he risks losing all that matters most in the present.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Narration / Voice Over|Murmurs of the Jungle,2023,70,Murmurs of the Jungle,,Marathi,2022,Best Narration / Voice Over,best-narration-voice-over,Silver Lotus,Sohil Vaidya,Sumant Shinde,,"₹2,00,000",tt17505104,,16,20,Short,,26 Jan 2022,,26 Jan 2022,https://m.media-amazon.com/images/M/MV5BN2ZmZmI1YzAtMGU5NC00YTNlLTkyMTctZjVkODk0MmYxY2EwXkEyXkFqcGc@._V1_SX300.jpg,"As whispering trees pass on stories of gods and ancestors, various inhabitants of a small village in Western Ghats speak. Gradually, a story unfolds that encompasses all of humanity and its symbiotic relationship to nature. Woods ...",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Script|Mono No Aware,2023,70,Mono No Aware,,Hindi English,2022,Best Script,best-script,Silver Lotus,Quinton Kienow Dominguez,Koushik Sarkar,,"₹2,00,000",tt22091832,,,34,Short,,15 Oct 2022,,15 Oct 2022,https://m.media-amazon.com/images/M/MV5BMzUzNmZlOGMtZDZmYi00NGZjLTg1NjEtZThlMWM3NDQxZThkXkEyXkFqcGdeQXVyMTQwNDk0MzYy._V1_SX300.jpg,"It's late at night in Los Angeles. Kia and Iris seek expressions of love, sexuality and friendship in musical moments that provide the soundtrack to their lives.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Special Mention|Birubala: Witch to Padmashri,2023,70,Birubala: Witch to Padmashri,,Assamese,2022,Special Mention,special-mention,Certificate of Merit,Aimee Baruah,Producer: Aimee Baruah Production Society,,Certificate only,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Hargila – The Greater Adjutant Stork|Assamese,2023,70,Assamese,,Producer: PI Entertainment Director: Partha Sarathi Mahanta,2022,Hargila – the Greater Adjutant Stork,hargila-the-greater-adjutant-stork,Certificate of Merit,Chinmoy Barma,,,,tt23848738,,12,,Short|Fantasy,,21 Jul 2020,,21 Jul 2020,https://m.media-amazon.com/images/M/MV5BNDk0NGUzZmMtMzk3OC00Zjc4LThiY2EtMWNiNjlhMGNhNjQ2XkEyXkFqcGc@._V1_SX300.jpg,"Ghorapak is one of the most feared legend/ghost in Assamese folklore. ' Ghora' means horse. This ghost is part horse and part human. Ghorapak is mostly seen in the river banks, ponds and swampy areas at night.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Book on Cinema|Unknown,2023,70,Unknown,,English,2022,Best Book on Cinema,best-book-on-cinema,Golden Lotus,Domben Chisom,Publisher: HarperCollins Publishers India Author: Anirudha Bhattacharjee Parthiv Dhar,,"₹1,00,000 each",tt23649626,,,10,Short|Drama|Mystery,,,,,https://m.media-amazon.com/images/M/MV5BOGI5ZWE5MzEtZTgwMy00NzNkLWIwOGMtMzg1OTM3MTQyYWUyXkEyXkFqcGdeQXVyMTM5NDMyMzIy._V1_SX300.jpg,"The phone conversation of an elderly woman illustrates her fearful relationship with a strange neighbor, who nobody seems to know.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Film Critic|Unknown,2023,70,Unknown,,Hindi,2022,Best Film Critic,best-film-critic,Golden Lotus,"Lyubomir Petkov, Tsvetoslav Tsonev",Deepak Dua,,"₹1,00,000",tt23649626,,,10,Short|Drama|Mystery,,,,,https://m.media-amazon.com/images/M/MV5BOGI5ZWE5MzEtZTgwMy00NzNkLWIwOGMtMzg1OTM3MTQyYWUyXkEyXkFqcGdeQXVyMTM5NDMyMzIy._V1_SX300.jpg,"The phone conversation of an elderly woman illustrates her fearful relationship with a strange neighbor, who nobody seems to know.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Lifetime Achievement|Lifetime Achievement,2023,70,Lifetime Achievement,,Hindi,2022,Lifetime Achievement,lifetime-achievement,Golden Lotus,Evan Wiley,,,,tt34129099,,,4,Short|Drama,,19 Jul 2024,,19 Jul 2024,https://m.media-amazon.com/images/M/MV5BMzZkMzYwYTUtYzBhZS00ZTA1LTkwNWQtNjg0MGI3MDg3OTY4XkEyXkFqcGc@._V1_SX300.jpg,"After making a major scientific discovery, a scientist learns that his research partner falsified data and must choose whether to confront him.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Feature Films|Feature Films,2023,70,Feature Films,,Hindi,2022,Feature Films,feature-films,Golden Lotus,,,,,tt17003764,8.7,,106,Drama,,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Golden Lotus Awards|Golden Lotus Awards,2023,70,Golden Lotus Awards,,Kannada,2022,Golden Lotus Awards,golden-lotus-awards,Golden Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Silver Lotus Awards|Silver Lotus Awards,2023,70,Silver Lotus Awards,,Hindi,2022,Silver Lotus Awards,silver-lotus-awards,Silver Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Silver Lotus Awards (Regional)|Silver Lotus Awards (Regional),2023,70,Silver Lotus Awards (Regional),,,2022,Silver Lotus Awards (Regional),silver-lotus-awards-regional,Silver Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Discontinued Awards|Discontinued Awards,2023,70,Discontinued Awards,,Hindi,2022,Discontinued Awards,discontinued-awards,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Non-Feature Films|Non-Feature Films,2023,70,Non-Feature Films,,,2022,Non-Feature Films,non-feature-films,Certificate of Merit,,,,,tt19850292,,,,Action|Crime|Horror,,,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Golden Lotus Awards|Golden Lotus Awards,2023,70,Golden Lotus Awards,,Kannada,2022,Golden Lotus Awards,golden-lotus-awards,Golden Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Silver Lotus Awards|Silver Lotus Awards,2023,70,Silver Lotus Awards,,Hindi,2022,Silver Lotus Awards,silver-lotus-awards,Silver Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Discontinued Awards|Discontinued Awards,2023,70,Discontinued Awards,,Hindi,2022,Discontinued Awards,discontinued-awards,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Writing on Cinema|Writing on Cinema,2023,70,Writing on Cinema,,,2022,Writing on Cinema,writing-on-cinema,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Golden Lotus Awards|Golden Lotus Awards,2023,70,Golden Lotus Awards,,Kannada,2022,Golden Lotus Awards,golden-lotus-awards,Golden Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Special Awards|Special Awards,2023,70,Special Awards,,,2022,Special Awards,special-awards,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Awards by year|Awards by year,2023,70,Awards by Year,,Hindi,2022,Awards by Year,awards-by-year,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|1953–1960|1953–1960,2023,70,1953–1960,,Hindi,2022,1953–1960,1953-1960,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|1961–1980|1961–1980,2023,70,1961–1980,,Tamil,2022,1961–1980,1961-1980,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|1981–2000|1981–2000,2023,70,1981–2000,,Telugu,2022,1981–2000,1981-2000,Certificate of Merit,,,,,tt15119154,8.4,,121,Biography|Crime,,2021,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|2001–2020|2001–2020,2023,70,2001–2020,,Hindi,2022,2001–2020,2001-2020,Certificate of Merit,,,,,tt0294251,6.0,,94,Action|Comedy|Fantasy,Gross worldwide,2001,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|2021–present|2021–present,2023,70,2021–present,,Kannada,2022,2021–present,2021-present,Certificate of Merit,,,,,tt15385940,,,90,Fantasy|Sci-Fi,,2021,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
"2023|Silver Lotus Awards|Feature Film Promoting National, Social and Environmental Va",2023,70,"Feature Film Promoting National, Social and Environmental Values Film in AVGC (VFX Supervisor) Actor in a Leading Role Actress in a Leading Role Actor in a Supporting Role Actress in a Supporting Role Child Artist Music Direction Male Playback Singer Female Playback Singer Lyrics Production Design Sound Design Choreography Cinematography Costume Design Editing Make-up Screenplay Stunt Choreography Special Mention",,,2022,Silver Lotus Awards,silver-lotus-awards,Silver Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Silver Lotus Awards (Regional)|Languages specified in the Eighth schedule of the Constituti,2023,70,Languages Specified in the Eighth Schedule of the Constitution of India : Assamese Bengali Bodo Dogri Gujarati Hindi Kannada Kashmiri Konkani Malayalam Manipuri Marathi Maithili Odia Punjabi Sanskrit Tamil Telugu Urdu Languages Other Than Those Specified in the Eighth Schedule of the Constitution : Bhojpuri Garo Haryanvi Jasari Khasi Kodava Kokborok Ladakhi Mishing Mizo Monpa Pangchenpa Rabha Sherdukpen Tiwa Tulu Wancho,,,2022,Silver Lotus Awards (Regional),silver-lotus-awards-regional,Silver Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Discontinued Awards|Second Best Feature Film Third Best Feature Film Story Film ,2023,70,Second Best Feature Film Third Best Feature Film Story Film Based on High Literary Work Film on Environment Conservation/Preservation Film on Family Welfare Film on National Integration Film on Other Social Issues Special Jury Award Animated Film Special Effects,,,2022,Discontinued Awards,discontinued-awards,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
"2023|Silver Lotus Awards|Non Feature Film Promoting National, Social and Environmenta",2023,70,"Non Feature Film Promoting National, Social and Environmental Values Documentary Arts/Cultural Film Biographical/Historical Reconstruction/Compilation Film Animation Film Short Film Script Sound Design Cinematography Editing Music Direction Narration / Voice Over Special Mention",,,2022,Silver Lotus Awards,silver-lotus-awards,Silver Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Discontinued Awards|Experimental Film Industrial Film Agriculture Film Anthropol,2023,70,Experimental Film Industrial Film Agriculture Film Anthropological/Ethnographic Film Biographical Film Educational/Motivational/Instructional Film Environment/Conservation/Preservation Film Exploration/Adventure Film Film on Family Welfare Historical Reconstruction/Compilation Film Investigative Film Promotional Film Scientific Film Film on Social Issues Filmstrip News Review Newsreel Cameraman Special Jury Award,,,2022,Discontinued Awards,discontinued-awards,Certificate of Merit,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Special Awards|Special Mention (Book on Cinema) Special Mention (Film Criti,2023,70,Special Mention (Book on Cinema) Special Mention (Film Critic),,,2022,Special Awards,special-awards,Golden Lotus,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
